chr   start   end   SDblocksIndexes
Hg38_Chr19  89405  103643 :  1  
Hg38_Chr19  108071  115448 :  2  
Hg38_Chr19  282325  290812 :  3  
Hg38_Chr19  313082  319387 :  4  
Hg38_Chr19  337913  344438 :  5  
Hg38_Chr19  405074  408603 :  6  
Hg38_Chr19  409188  410871 :  7  
Hg38_Chr19  489521  490721 :  8  
Hg38_Chr19  626822  631921 :  9  
Hg38_Chr19  707357  708805 :  10  
Hg38_Chr19  714650  719780 :  11  
Hg38_Chr19  798157  812661 :  12  
Hg38_Chr19  822635  829004 :  13  
Hg38_Chr19  858232  860231 :  14  
Hg38_Chr19  1008485  1010761 :  15  
Hg38_Chr19  1097693  1099339 :  16  
Hg38_Chr19  1104691  1109100 :  17  
Hg38_Chr19  1176615  1182645 :  18  
Hg38_Chr19  1238142  1246838 :  19  
Hg38_Chr19  1246884  1249450 :  20  
Hg38_Chr19  1250092  1252812 :  21  
Hg38_Chr19  1253042  1266533 :  22  
Hg38_Chr19  1266843  1281982 :  23  
Hg38_Chr19  1282650  1285743 :  24  
Hg38_Chr19  1407761  1443419 :  25  26  
Hg38_Chr19  1464915  1469625 :  27  
Hg38_Chr19  1469695  1479818 :  28  
Hg38_Chr19  1485980  1497136 :  29  
Hg38_Chr19  1569548  1581966 :  30  
Hg38_Chr19  1583234  1591228 :  31  
Hg38_Chr19  1601168  1627883 :  32  33  
Hg38_Chr19  1652733  1662212 :  34  
Hg38_Chr19  1746314  1753666 :  35  
Hg38_Chr19  1754004  1771981 :  36  
Hg38_Chr19  1772702  1776738 :  37  
Hg38_Chr19  1778190  1782431 :  38  
Hg38_Chr19  1790865  1801692 :  39  
Hg38_Chr19  1802407  1827436 :  40  
Hg38_Chr19  1827737  1862931 :  41  
Hg38_Chr19  1863533  1880064 :  42  
Hg38_Chr19  1881234  1885344 :  43  
Hg38_Chr19  1929373  1941108 :  44  
Hg38_Chr19  1952406  1958475 :  45  
Hg38_Chr19  1968736  1978117 :  46  
Hg38_Chr19  1981868  2015258 :  47  
Hg38_Chr19  2042368  2050957 :  48  
Hg38_Chr19  2051200  2054408 :  49  
Hg38_Chr19  2095910  2107307 :  50  
Hg38_Chr19  2113457  2128576 :  51  
Hg38_Chr19  2134892  2141447 :  52  
Hg38_Chr19  2143735  2147502 :  53  
Hg38_Chr19  2162033  2163917 :  54  
Hg38_Chr19  2201088  2218692 :  55  56  57  
Hg38_Chr19  2218907  2236408 :  58  59  
Hg38_Chr19  2265524  2277885 :  60  61  
Hg38_Chr19  2421323  2431782 :  62  
Hg38_Chr19  2522475  2526421 :  63  
Hg38_Chr19  2538748  2548539 :  64  
Hg38_Chr19  2586949  2589137 :  65  
Hg38_Chr19  2640109  2643154 :  66  
Hg38_Chr19  2658310  2671943 :  67  
Hg38_Chr19  2773615  2774704 :  68  
Hg38_Chr19  2811712  2817790 :  69  
Hg38_Chr19  2826831  2833099 :  70  
Hg38_Chr19  2852624  2870732 :  71  
Hg38_Chr19  2873099  2880706 :  72  
Hg38_Chr19  2901734  2910781 :  73  
Hg38_Chr19  3042233  3043652 :  74  
Hg38_Chr19  3045051  3046567 :  75  
Hg38_Chr19  3056522  3061992 :  76  
Hg38_Chr19  3070798  3080760 :  77  
Hg38_Chr19  3225707  3228592 :  78  
Hg38_Chr19  3228892  3231464 :  79  
Hg38_Chr19  3241648  3257529 :  80  
Hg38_Chr19  3270755  3276017 :  81  
Hg38_Chr19  3314071  3323187 :  82  
Hg38_Chr19  3332822  3341150 :  83  
Hg38_Chr19  3342630  3348623 :  84  
Hg38_Chr19  3350029  3359406 :  85  
Hg38_Chr19  3360464  3366084 :  86  
Hg38_Chr19  3461449  3463549 :  87  
Hg38_Chr19  3480355  3486728 :  88  
Hg38_Chr19  3491753  3530284 :  89  
Hg38_Chr19  3541813  3552171 :  90  91  
Hg38_Chr19  3554455  3577106 :  92  
Hg38_Chr19  3585768  3587296 :  93  
Hg38_Chr19  3588164  3597240 :  94  
Hg38_Chr19  3599722  3643467 :  95  
Hg38_Chr19  3643669  3649090 :  96  
Hg38_Chr19  3649838  3677878 :  97  
Hg38_Chr19  3688424  3696577 :  98  
Hg38_Chr19  3717696  3732842 :  99  
Hg38_Chr19  3788845  3816097 :  100  
Hg38_Chr19  3845961  3866326 :  101  
Hg38_Chr19  3885638  3908621 :  102  
Hg38_Chr19  3908950  3922853 :  103  
Hg38_Chr19  3998343  4011710 :  104  
Hg38_Chr19  4012009  4022355 :  105  
Hg38_Chr19  4023433  4026085 :  106  
Hg38_Chr19  4026170  4035760 :  107  
Hg38_Chr19  4038633  4043210 :  108  
Hg38_Chr19  4043864  4052404 :  109  110  111  
Hg38_Chr19  4054371  4064913 :  112  
Hg38_Chr19  4065966  4073981 :  113  
Hg38_Chr19  4122315  4125184 :  114  
Hg38_Chr19  4164018  4167355 :  115  
Hg38_Chr19  4167551  4198180 :  116  
Hg38_Chr19  4228748  4239853 :  117  
Hg38_Chr19  4279733  4285826 :  118  
Hg38_Chr19  4289357  4304664 :  119  
Hg38_Chr19  4305196  4322186 :  120  
Hg38_Chr19  4382256  4400599 :  121  
Hg38_Chr19  4401046  4404120 :  122  
Hg38_Chr19  4521023  4524485 :  123  
Hg38_Chr19  4527110  4541900 :  124  
Hg38_Chr19  4544564  4548856 :  125  
Hg38_Chr19  4569897  4580622 :  126  
Hg38_Chr19  4581733  4597979 :  127  
Hg38_Chr19  4611687  4618585 :  128  
Hg38_Chr19  4672280  4723634 :  129  130  
Hg38_Chr19  4798583  4820677 :  131  
Hg38_Chr19  4905392  4918311 :  132  
Hg38_Chr19  4919984  4939373 :  133  
Hg38_Chr19  4940436  4987109 :  134  
Hg38_Chr19  4988274  5076258 :  135  136  
Hg38_Chr19  5076661  5084353 :  137  
Hg38_Chr19  5084726  5090370 :  138  
Hg38_Chr19  5090584  5174185 :  139  
Hg38_Chr19  5223064  5250955 :  140  
Hg38_Chr19  5251429  5305986 :  141  
Hg38_Chr19  5311759  5340184 :  142  143  144  145  146  
Hg38_Chr19  5365612  5379372 :  147  
Hg38_Chr19  5433801  5436415 :  148  
Hg38_Chr19  5437389  5476281 :  149  150  151  
Hg38_Chr19  5477311  5493961 :  152  
Hg38_Chr19  5552916  5558490 :  153  
Hg38_Chr19  5561717  5562960 :  154  
Hg38_Chr19  5579120  5581285 :  155  
Hg38_Chr19  5581790  5609254 :  156  157  158  159  160  161  162  
Hg38_Chr19  5609490  5672485 :  163  
Hg38_Chr19  5703017  5709842 :  164  
Hg38_Chr19  5711025  5721016 :  165  
Hg38_Chr19  5769161  5771471 :  166  
Hg38_Chr19  5771691  5787010 :  167  
Hg38_Chr19  5805485  5837789 :  168  
Hg38_Chr19  5850715  5851962 :  169  
Hg38_Chr19  5869500  5880522 :  170  
Hg38_Chr19  5886042  5910519 :  171  
Hg38_Chr19  5912689  5996322 :  172  
Hg38_Chr19  6009594  6034119 :  173  
Hg38_Chr19  6035865  6077998 :  174  
Hg38_Chr19  6172450  6202096 :  175  176  
Hg38_Chr19  6208898  6279559 :  177  
Hg38_Chr19  6280231  6293882 :  178  
Hg38_Chr19  6294283  6318780 :  179  
Hg38_Chr19  6424650  6429003 :  180  
Hg38_Chr19  6461258  6479662 :  181  
Hg38_Chr19  6493430  6496771 :  182  
Hg38_Chr19  6498193  6501838 :  183  
Hg38_Chr19  6521778  6526299 :  184  
Hg38_Chr19  6531153  6533320 :  185  
Hg38_Chr19  6534108  6548190 :  186  
Hg38_Chr19  6548506  6552706 :  187  
Hg38_Chr19  6570259  6584055 :  188  
Hg38_Chr19  6584258  6586883 :  189  
Hg38_Chr19  6607017  6626421 :  190  
Hg38_Chr19  6659758  6672379 :  191  
Hg38_Chr19  6673445  6675907 :  192  
Hg38_Chr19  6676953  6774440 :  193  
Hg38_Chr19  6857927  6865040 :  194  
Hg38_Chr19  6866495  6882915 :  195  196  197  
Hg38_Chr19  6886195  6931911 :  198  
Hg38_Chr19  6937428  6990246 :  199  
Hg38_Chr19  6995077  7008506 :  200  
Hg38_Chr19  7010710  7023197 :  201  
Hg38_Chr19  7063163  7104721 :  202  
Hg38_Chr19  7156831  7172860 :  203  204  
Hg38_Chr19  7245015  7273688 :  205  
Hg38_Chr19  7275204  7293773 :  206  
Hg38_Chr19  7294508  7303475 :  207  
Hg38_Chr19  7354875  7429535 :  208  
Hg38_Chr19  7430299  7436086 :  209  
Hg38_Chr19  7516313  7592317 :  210  
Hg38_Chr19  7593306  7595655 :  211  
Hg38_Chr19  7596464  7598798 :  212  
Hg38_Chr19  7615979  7708025 :  213  214  215  
Hg38_Chr19  7810200  7823063 :  216  
Hg38_Chr19  7837287  7862439 :  217  
Hg38_Chr19  7862732  7870052 :  218  
Hg38_Chr19  7925857  7945751 :  219  
Hg38_Chr19  8019994  8023909 :  220  
Hg38_Chr19  8086344  8103288 :  221  
Hg38_Chr19  8235460  8252357 :  222  
Hg38_Chr19  8283384  8286829 :  223  
Hg38_Chr19  8298234  8325296 :  223  224  
Hg38_Chr19  8326516  8336386 :  225  
Hg38_Chr19  8337252  8345702 :  226  
Hg38_Chr19  8358114  8372141 :  227  
Hg38_Chr19  8445607  8502703 :  228  
Hg38_Chr19  8562304  8567323 :  229  
Hg38_Chr19  8582780  8611072 :  230  
Hg38_Chr19  8627915  8636360 :  231  
Hg38_Chr19  8637795  8660775 :  232  233  
Hg38_Chr19  8661789  8672279 :  234  
Hg38_Chr19  8699134  8702116 :  235  
Hg38_Chr19  8801626  8853707 :  236  237  
Hg38_Chr19  8854288  8888441 :  238  
Hg38_Chr19  8891911  8894529 :  239  
Hg38_Chr19  8899710  8902178 :  240  
Hg38_Chr19  8912472  8921087 :  241  
Hg38_Chr19  9004097  9013556 :  242  
Hg38_Chr19  9192440  9195656 :  -1376  
Hg38_Chr19  9201726  9295562 :  243  244  245  246  247  248  249  
Hg38_Chr19  9299345  9313295 :  250  
Hg38_Chr19  9321861  9357238 :  251  
Hg38_Chr19  9364129  9371222 :  252  
Hg38_Chr19  9372011  9402000 :  253  
Hg38_Chr19  9404828  9442160 :  254  
Hg38_Chr19  9443191  9482154 :  255  
Hg38_Chr19  9485629  9488089 :  256  
Hg38_Chr19  9491840  9500423 :  257  
Hg38_Chr19  9583592  9603683 :  258  
Hg38_Chr19  9618834  9656803 :  259  
Hg38_Chr19  9661313  9675877 :  260  
Hg38_Chr19  9693343  9695244 :  261  
Hg38_Chr19  9708062  9739556 :  262  
Hg38_Chr19  9739560  9746463 :  263  
Hg38_Chr19  9755829  9760303 :  264  
Hg38_Chr19  9761045  9778624 :  265  
Hg38_Chr19  9802943  9905175 :  266  267  268  269  270  
Hg38_Chr19  9906237  9913713 :  271  
Hg38_Chr19  9938148  9942449 :  272  
Hg38_Chr19  9942995  9946151 :  273  
Hg38_Chr19  10016228  10066701 :  274  
Hg38_Chr19  10066852  10081401 :  275  
Hg38_Chr19  10096316  10125280 :  276  
Hg38_Chr19  10125534  10176788 :  277  278  279  280  
Hg38_Chr19  10200568  10214477 :  281  
Hg38_Chr19  10220743  10221998 :  282  
Hg38_Chr19  10223452  10233130 :  283  
Hg38_Chr19  10267894  10275508 :  284  
Hg38_Chr19  10300800  10313152 :  285  
Hg38_Chr19  10377739  10412841 :  286  
Hg38_Chr19  10413225  10465519 :  287  
Hg38_Chr19  10540249  10565689 :  288  
Hg38_Chr19  10652740  10654525 :  289  
Hg38_Chr19  10654944  10698828 :  290  
Hg38_Chr19  10732583  10752642 :  291  
Hg38_Chr19  10753399  10758308 :  292  
Hg38_Chr19  10758677  10857371 :  293  
Hg38_Chr19  10875429  10890236 :  294  
Hg38_Chr19  10890330  10931358 :  295  
Hg38_Chr19  10957841  10960944 :  296  
Hg38_Chr19  10973680  11042986 :  297  
Hg38_Chr19  11043695  11073624 :  298  
Hg38_Chr19  11079956  11082262 :  299  
Hg38_Chr19  11083306  11084418 :  300  
Hg38_Chr19  11111089  11118977 :  301  
Hg38_Chr19  11150314  11262310 :  302  
Hg38_Chr19  11262572  11270237 :  303  
Hg38_Chr19  11292974  11302966 :  304  
Hg38_Chr19  11303592  11307727 :  305  
Hg38_Chr19  11351139  11355416 :  306  
Hg38_Chr19  11355596  11358070 :  307  
Hg38_Chr19  11359164  11385464 :  308  
Hg38_Chr19  11419421  11424520 :  309  
Hg38_Chr19  11434018  11477330 :  310  
Hg38_Chr19  11498991  11533543 :  311  
Hg38_Chr19  11533742  11540093 :  312  
Hg38_Chr19  11573262  11609476 :  313  
Hg38_Chr19  11636141  11665045 :  314  
Hg38_Chr19  11671762  11706925 :  315  
Hg38_Chr19  11714114  11772215 :  316  317  318  
Hg38_Chr19  11779910  11783448 :  319  
Hg38_Chr19  11785813  11816999 :  320  
Hg38_Chr19  11821134  11822213 :  321  
Hg38_Chr19  11824969  11851530 :  322  
Hg38_Chr19  11865908  11874704 :  323  
Hg38_Chr19  11874756  11876233 :  324  
Hg38_Chr19  11878421  11894200 :  325  
Hg38_Chr19  11894400  11896310 :  326  
Hg38_Chr19  11944684  11957568 :  327  
Hg38_Chr19  11961676  11969302 :  328  
Hg38_Chr19  11976789  11994391 :  329  
Hg38_Chr19  12010806  12030061 :  330  331  332  
Hg38_Chr19  12093834  12098119 :  333  
Hg38_Chr19  12126170  12143425 :  334  335  
Hg38_Chr19  12181639  12222695 :  336  
Hg38_Chr19  12223750  12248935 :  337  
Hg38_Chr19  12280453  12289336 :  338  
Hg38_Chr19  12290120  12303617 :  339  
Hg38_Chr19  12306031  12329329 :  340  
Hg38_Chr19  12332512  12355301 :  341  
Hg38_Chr19  12355644  12375381 :  342  
Hg38_Chr19  12387453  12392417 :  343  344  345  
Hg38_Chr19  12392455  12396620 :  346  
Hg38_Chr19  12398219  12401575 :  347  
Hg38_Chr19  12404131  12426906 :  348  
Hg38_Chr19  12432229  12436451 :  346  
Hg38_Chr19  12436502  12438847 :  349  
Hg38_Chr19  12446880  12467179 :  350  
